Anime_Base,Titulo_Completo,URL,Imagem,Tipo,Provider
Yoroi Shin Den Samurai Troopers 2026 ANIME,Yoroi Shin Den Samurai Troopers 2026 ANIME,https://animeshd.to/animes/yoroi-shin-den-samurai-troopers/,https://image.tmdb.org/t/p/w780/fikx5FofgLjNvyGORxdB4R2wxsE.jpg,Legendado,AnimesHD
Android wa Keiken Ninzuu ni Hairimasu ka?? 2026 ANIME,Android wa Keiken Ninzuu ni Hairimasu ka?? 2026 ANIME,https://animeshd.to/animes/android-wa-keiken-ninzuu-ni-hairimasu-ka/,https://image.tmdb.org/t/p/w780/9zPC2aRwIko0gT1CP86mp8LSfOK.jpg,Legendado,AnimesHD
Jingai Kyoushitsu no Ningengirai Kyoushi 2026 ANIME,Jingai Kyoushitsu no Ningengirai Kyoushi 2026 ANIME,https://animeshd.to/animes/jingai-kyoushitsu-no-ningengirai-kyoushi/,https://image.tmdb.org/t/p/w780/yrDQ24QE2qW2eNB2TGNafYT1Wnh.jpg,Legendado,AnimesHD
Jujutsu Kaisen Dublado 2020 ANIME,Jujutsu Kaisen Dublado 2020 ANIME,https://animeshd.to/animes/jujutsu-kaisen-dublado/,https://image.tmdb.org/t/p/w780/gmECX1DvFgdUPjtio2zaL8BPYPu.jpg,Dublado,AnimesHD
Odayaka Kizoku no Kyuuka no Susume 2026 ANIME,Odayaka Kizoku no Kyuuka no Susume 2026 ANIME,https://animeshd.to/animes/odayaka-kizoku-no-kyuuka-no-susume/,https://image.tmdb.org/t/p/w780/snzpnGs0cX5cQR7Cxaefc6su53p.jpg,Legendado,AnimesHD
Trigun Stargaze 2023 ANIME,Trigun Stargaze 2023 ANIME,https://animeshd.to/animes/trigun-stampede/,https://image.tmdb.org/t/p/w780/6dErjmx17e8kZn5zHAqLrbcTesV.jpg,Legendado,AnimesHD
Uruwashi no Yoi no Tsuki 2026 ANIME,Uruwashi no Yoi no Tsuki 2026 ANIME,https://animeshd.to/animes/uruwashi-no-yoi-no-tsuki/,https://image.tmdb.org/t/p/w780/6Eg3t2KdtqiF29G7a7S1Npl93g8.jpg,Legendado,AnimesHD
Kaya-chan wa Kowakunai 2026 ANIME,Kaya-chan wa Kowakunai 2026 ANIME,https://animeshd.to/animes/kaya-chan-wa-kowakunai/,https://image.tmdb.org/t/p/w780/vcHzF9NHQLM8dCW1OOBhezsFRiO.jpg,Legendado,AnimesHD
Hikuidori: Ushuu Boro Tobi-gumi 2026 ANIME,Hikuidori: Ushuu Boro Tobi-gumi 2026 ANIME,https://animeshd.to/animes/hikuidori-ushuu-boro-tobi-gumi/,https://image.tmdb.org/t/p/w780/5MzPjgDGy2m0tSrIQL2LXJOdu3.jpg,Legendado,AnimesHD
Akuyaku Reijou wa Ringoku no Outaishi ni Dekiai sareru 2026 ANIME,Akuyaku Reijou wa Ringoku no Outaishi ni Dekiai sareru 2026 ANIME,https://animeshd.to/animes/akuyaku-reijou-wa-ringoku-no-outaishi-ni-dekiai-sareru/,https://image.tmdb.org/t/p/w780/6vaxQIDlAGtELnfyBMC9toTYMuX.jpg,Legendado,AnimesHD
7.8 NOVO Dragon Ball Daima 2024,7.8 NOVO Dragon Ball Daima 2024,https://animeshd.to/animes/dragon-ball-daima-online/,https://animeshd.to/wp-content/uploads/2024/10/pc9jW4KdhGfJ7go74VTOq3qWxk5-185x278.jpg,Legendado,AnimesHD
10 NOVO Sentenced to Be a Hero 2026,10 NOVO Sentenced to Be a Hero 2026,https://animeshd.to/animes/sentenced-to-be-a-hero/,https://animeshd.to/wp-content/uploads/2026/01/juGNOhRx7MXg3i2NuZ9lR6arVQw-185x278.jpg,Legendado,AnimesHD
9.4 NOVO Tougen Anki 2025,9.4 NOVO Tougen Anki 2025,https://animeshd.to/animes/tougen-anki/,https://animeshd.to/wp-content/uploads/2025/08/v4OlQo5vj9aXW8oqd7q6w4ine67-185x278.jpg,Legendado,AnimesHD
9.1 NOVO Lord of Mysteries 2025,9.1 NOVO Lord of Mysteries 2025,https://animeshd.to/animes/lord-of-mysteries/,https://animeshd.to/wp-content/uploads/2025/07/kBRyCCZWipMO5Gu9Y02nE3iMgr0-185x278.jpg,Legendado,AnimesHD
9.1 NOVO Witch Watch 2025,9.1 NOVO Witch Watch 2025,https://animeshd.to/animes/witch-watch/,https://animeshd.to/wp-content/uploads/2025/07/jeh8PhZecsxpPikl6oUrVEkG8s6-185x278.jpg,Legendado,AnimesHD
10 NOVO Summer Pockets 2025,10 NOVO Summer Pockets 2025,https://animeshd.to/animes/summer-pockets/,https://animeshd.to/wp-content/uploads/2025/07/8WALipI4LbRa3POKJOfGPLrVemK-185x278.jpg,Legendado,AnimesHD
9.8 NOVO Gachiakuta 2025,9.8 NOVO Gachiakuta 2025,https://animeshd.to/animes/gachiakuta/,https://animeshd.to/wp-content/uploads/2025/07/RxuL7KuFoOzHC0htjtLGxJEGGx-185x278.jpg,Legendado,AnimesHD
10 NOVO Shin Samurai-den Yaiba 2025,10 NOVO Shin Samurai-den Yaiba 2025,https://animeshd.to/animes/shin-samurai-den-yaiba/,https://animeshd.to/wp-content/uploads/2025/04/1jltcsz17CkfyhpcsSlmVC6pQGh-185x278.jpg,Legendado,AnimesHD
7 NOVO Guilty Gear Strive: Dual Rulers 2025,7 NOVO Guilty Gear Strive: Dual Rulers 2025,https://animeshd.to/animes/guilty-gear-strive-dual-rulers/,https://animeshd.to/wp-content/uploads/2025/04/tpRogsdGkXhog9q80I0XrOuEA4K-185x278.jpg,Legendado,AnimesHD
"8.8 NOVO Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita 2021","8.8 NOVO Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita 2021",https://animeshd.to/animes/slime-taoshite-300-nen-shiranai-uchi-ni-level-max-ni-nattemashita/,https://animeshd.to/wp-content/uploads/2025/04/olv9eCdn4m1p7PLZaMTn5zR1SEB-185x278.jpg,Legendado,AnimesHD
3.5 NOVO Nazotoki wa Dinner no Ato de 2025,3.5 NOVO Nazotoki wa Dinner no Ato de 2025,https://animeshd.to/animes/nazotoki-wa-dinner-no-ato-de/,https://animeshd.to/wp-content/uploads/2025/04/4QWLO92rjsPhIMS2ZyaxIiWJZpl-185x278.jpg,Legendado,AnimesHD
7 NOVO Your Forma 2025,7 NOVO Your Forma 2025,https://animeshd.to/animes/your-forma/,https://animeshd.to/wp-content/uploads/2025/04/uq3FFKHW6lUQxdiTetjgSIL0vMs-185x278.jpg,Legendado,AnimesHD
"9.4 NOVO Danjo no Yuujou wa Seiritsu suru? (Iya, Shinai!!) 2025","9.4 NOVO Danjo no Yuujou wa Seiritsu suru? (Iya, Shinai!!) 2025",https://animeshd.to/animes/danjo-no-yuujou-wa-seiritsu-suru-iya-shinai/,https://animeshd.to/wp-content/uploads/2025/04/74Oi8x6kwqgeDgfIgNVQwl9b0FT-185x278.jpg,Legendado,AnimesHD
8.7 NOVO Devil May Cry 2025,8.7 NOVO Devil May Cry 2025,https://animeshd.to/animes/devil-may-cry/,https://animeshd.to/wp-content/uploads/2025/04/i9ZQgNaeXsrKKBh6MaSYFxbGkDC-185x278.jpg,Legendado,AnimesHD
